geo.name,geo,time,age_group,pop
Albania,alb,1950,0,38.290
Albania,alb,1950,1,36.382
Albania,alb,1950,2,34.808
Albania,alb,1950,3,33.530
Albania,alb,1950,4,32.504
Albania,alb,1950,5,31.692
Albania,alb,1950,6,31.056
Albania,alb,1950,7,30.549
Albania,alb,1950,8,30.136
Albania,alb,1950,9,29.775
Albania,alb,1950,10,29.505
Albania,alb,1950,11,29.364
Albania,alb,1950,12,28.917
Albania,alb,1950,13,27.963
Albania,alb,1950,14,26.701
Albania,alb,1950,15,25.495
Albania,alb,1950,16,24.238
Albania,alb,1950,17,23.236
Albania,alb,1950,18,22.662
Albania,alb,1950,19,22.352
Albania,alb,1950,20,21.994
Albania,alb,1950,21,21.698
Albania,alb,1950,22,21.162
Albania,alb,1950,23,20.220
Albania,alb,1950,24,19.048
Albania,alb,1950,25,17.957
Albania,alb,1950,26,16.858
Albania,alb,1950,27,16.027
Albania,alb,1950,28,15.622
Albania,alb,1950,29,15.498
Albania,alb,1950,30,15.349
Albania,alb,1950,31,15.232
Albania,alb,1950,32,15.076
Albania,alb,1950,33,14.809
Albania,alb,1950,34,14.477
Albania,alb,1950,35,14.182
Albania,alb,1950,36,13.890
Albania,alb,1950,37,13.621
Albania,alb,1950,38,13.386
Albania,alb,1950,39,13.160
Albania,alb,1950,40,12.938
Albania,alb,1950,41,12.754
Albania,alb,1950,42,12.409
Albania,alb,1950,43,11.814
Albania,alb,1950,44,11.081
Albania,alb,1950,45,10.366
Albania,alb,1950,46,9.588
Albania,alb,1950,47,9.100
Albania,alb,1950,48,9.073
Albania,alb,1950,49,9.326
Albania,alb,1950,50,9.541
Albania,alb,1950,51,9.838
Albania,alb,1950,52,9.813
Albania,alb,1950,53,9.253
Albania,alb,1950,54,8.377
Albania,alb,1950,55,7.576
Albania,alb,1950,56,6.725
Albania,alb,1950,57,6.207
Albania,alb,1950,58,6.233
Albania,alb,1950,59,6.594
Albania,alb,1950,60,6.886
Albania,alb,1950,61,7.204
Albania,alb,1950,62,7.330
Albania,alb,1950,63,7.121
Albania,alb,1950,64,6.693
Albania,alb,1950,65,6.315
Albania,alb,1950,66,5.930
Albania,alb,1950,67,5.566
Albania,alb,1950,68,5.253
Albania,alb,1950,69,4.973
Albania,alb,1950,70,4.670
Albania,alb,1950,71,4.358
Albania,alb,1950,72,4.040
Albania,alb,1950,73,3.713
Albania,alb,1950,74,3.385
Albania,alb,1950,75,3.063
Albania,alb,1950,76,2.742
Albania,alb,1950,77,2.464
Albania,alb,1950,78,2.259
Albania,alb,1950,79,2.100
Albania,alb,1950,80+,11.397
Albania,alb,1951,0,43.430
Albania,alb,1951,1,37.845
Albania,alb,1951,2,35.923
Albania,alb,1951,3,34.361
Albania,alb,1951,4,33.113
Albania,alb,1951,5,32.132
Albania,alb,1951,6,31.382
Albania,alb,1951,7,30.822
Albania,alb,1951,8,30.375
Albania,alb,1951,9,29.985
Albania,alb,1951,10,29.626
Albania,alb,1951,11,29.365
Albania,alb,1951,12,29.234
Albania,alb,1951,13,28.795
Albania,alb,1951,14,27.845
Albania,alb,1951,15,26.586
Albania,alb,1951,16,25.381
Albania,alb,1951,17,24.120
Albania,alb,1951,18,23.118
Albania,alb,1951,19,22.553
Albania,alb,1951,20,22.254
Albania,alb,1951,21,21.906
Albania,alb,1951,22,21.621
Albania,alb,1951,23,21.087
Albania,alb,1951,24,20.134
Albania,alb,1951,25,18.944
Albania,alb,1951,26,17.836
Albania,alb,1951,27,16.719
Albania,alb,1951,28,15.877
Albania,alb,1951,29,15.473
Albania,alb,1951,30,15.360
Albania,alb,1951,31,15.220
Albania,alb,1951,32,15.109
Albania,alb,1951,33,14.962
Albania,alb,1951,34,14.705
Albania,alb,1951,35,14.383
Albania,alb,1951,36,14.098
Albania,alb,1951,37,13.817
Albania,alb,1951,38,13.552
Albania,alb,1951,39,13.305
Albania,alb,1951,40,13.062
Albania,alb,1951,41,12.822
Albania,alb,1951,42,12.619
Albania,alb,1951,43,12.260
Albania,alb,1951,44,11.658
Albania,alb,1951,45,10.921
Albania,alb,1951,46,10.204
Albania,alb,1951,47,9.423
Albania,alb,1951,48,8.935
Albania,alb,1951,49,8.906
Albania,alb,1951,50,9.161
Albania,alb,1951,51,9.377
Albania,alb,1951,52,9.672
Albania,alb,1951,53,9.654
Albania,alb,1951,54,9.114
Albania,alb,1951,55,8.264
Albania,alb,1951,56,7.489
Albania,alb,1951,57,6.665
Albania,alb,1951,58,6.155
Albania,alb,1951,59,6.160
Albania,alb,1951,60,6.482
Albania,alb,1951,61,6.737
Albania,alb,1951,62,7.017
Albania,alb,1951,63,7.112
Albania,alb,1951,64,6.892
Albania,alb,1951,65,6.462
Albania,alb,1951,66,6.081
Albania,alb,1951,67,5.692
Albania,alb,1951,68,5.328
Albania,alb,1951,69,5.017
Albania,alb,1951,70,4.743
Albania,alb,1951,71,4.446
Albania,alb,1951,72,4.142
Albania,alb,1951,73,3.831
Albania,alb,1951,74,3.505
Albania,alb,1951,75,3.176
Albania,alb,1951,76,2.854
Albania,alb,1951,77,2.535
Albania,alb,1951,78,2.259
Albania,alb,1951,79,2.056
Albania,alb,1951,80+,11.940
Albania,alb,1952,0,47.518
Albania,alb,1952,1,42.553
Albania,alb,1952,2,37.417
Albania,alb,1952,3,35.480
Albania,alb,1952,4,33.927
Albania,alb,1952,5,32.710
Albania,alb,1952,6,31.774
Albania,alb,1952,7,31.084
Albania,alb,1952,8,30.601
Albania,alb,1952,9,30.212
Albania,alb,1952,10,29.847
Albania,alb,1952,11,29.489
Albania,alb,1952,12,29.236
Albania,alb,1952,13,29.116
Albania,alb,1952,14,28.682
Albania,alb,1952,15,27.739
Albania,alb,1952,16,26.481
Albania,alb,1952,17,25.276
Albania,alb,1952,18,24.011
Albania,alb,1952,19,23.010
Albania,alb,1952,20,22.452
Albania,alb,1952,21,22.165
Albania,alb,1952,22,21.827
Albania,alb,1952,23,21.551
Albania,alb,1952,24,21.021
Albania,alb,1952,25,20.057
Albania,alb,1952,26,18.847
Albania,alb,1952,27,17.722
Albania,alb,1952,28,16.586
Albania,alb,1952,29,15.733
Albania,alb,1952,30,15.331
Albania,alb,1952,31,15.229
Albania,alb,1952,32,15.095
Albania,alb,1952,33,14.993
Albania,alb,1952,34,14.854
Albania,alb,1952,35,14.608
Albania,alb,1952,36,14.294
Albania,alb,1952,37,14.019
Albania,alb,1952,38,13.751
Albania,alb,1952,39,13.486
Albania,alb,1952,40,13.231
Albania,alb,1952,41,12.968
Albania,alb,1952,42,12.711
Albania,alb,1952,43,12.490
Albania,alb,1952,44,12.116
Albania,alb,1952,45,11.506
Albania,alb,1952,46,10.768
Albania,alb,1952,47,10.045
Albania,alb,1952,48,9.263
Albania,alb,1952,49,8.773
Albania,alb,1952,50,8.745
Albania,alb,1952,51,8.999
Albania,alb,1952,52,9.217
Albania,alb,1952,53,9.509
Albania,alb,1952,54,9.500
Albania,alb,1952,55,8.979
Albania,alb,1952,56,8.156
Albania,alb,1952,57,7.404
Albania,alb,1952,58,6.608
Albania,alb,1952,59,6.106
Albania,alb,1952,60,6.090
Albania,alb,1952,61,6.373
Albania,alb,1952,62,6.591
Albania,alb,1952,63,6.832
Albania,alb,1952,64,6.899
Albania,alb,1952,65,6.665
Albania,alb,1952,66,6.236
Albania,alb,1952,67,5.849
Albania,alb,1952,68,5.459
Albania,alb,1952,69,5.092
Albania,alb,1952,70,4.785
Albania,alb,1952,71,4.514
Albania,alb,1952,72,4.225
Albania,alb,1952,73,3.930
Albania,alb,1952,74,3.624
Albania,alb,1952,75,3.299
Albania,alb,1952,76,2.969
Albania,alb,1952,77,2.647
Albania,alb,1952,78,2.329
Albania,alb,1952,79,2.056
Albania,alb,1952,80+,12.255
Albania,alb,1953,0,50.866
Albania,alb,1953,1,45.336
Albania,alb,1953,2,40.816
Albania,alb,1953,3,37.080
Albania,alb,1953,4,35.122
Albania,alb,1953,5,33.577
Albania,alb,1953,6,32.386
Albania,alb,1953,7,31.494
Albania,alb,1953,8,30.862
Albania,alb,1953,9,30.453
Albania,alb,1953,10,30.123
Albania,alb,1953,11,29.780
Albania,alb,1953,12,29.423
Albania,alb,1953,13,29.177
Albania,alb,1953,14,29.068
Albania,alb,1953,15,28.641
Albania,alb,1953,16,27.698
Albania,alb,1953,17,26.441
Albania,alb,1953,18,25.232
Albania,alb,1953,19,23.961
Albania,alb,1953,20,22.957
Albania,alb,1953,21,22.405
Albania,alb,1953,22,22.129
Albania,alb,1953,23,21.800
Albania,alb,1953,24,21.534
Albania,alb,1953,25,21.005
Albania,alb,1953,26,20.027
Albania,alb,1953,27,18.797
Albania,alb,1953,28,17.650
Albania,alb,1953,29,16.494
Albania,alb,1953,30,15.627
Albania,alb,1953,31,15.227
Albania,alb,1953,32,15.134
Albania,alb,1953,33,15.009
Albania,alb,1953,34,14.912
Albania,alb,1953,35,14.782
Albania,alb,1953,36,14.545
Albania,alb,1953,37,14.240
Albania,alb,1953,38,13.975
Albania,alb,1953,39,13.716
Albania,alb,1953,40,13.455
Albania,alb,1953,41,13.188
Albania,alb,1953,42,12.906
Albania,alb,1953,43,12.631
Albania,alb,1953,44,12.391
Albania,alb,1953,45,12.002
Albania,alb,1953,46,11.382
Albania,alb,1953,47,10.639
Albania,alb,1953,48,9.912
Albania,alb,1953,49,9.126
Albania,alb,1953,50,8.632
Albania,alb,1953,51,8.604
Albania,alb,1953,52,8.861
Albania,alb,1953,53,9.078
Albania,alb,1953,54,9.371
Albania,alb,1953,55,9.368
Albania,alb,1953,56,8.867
Albania,alb,1953,57,8.066
Albania,alb,1953,58,7.337
Albania,alb,1953,59,6.567
Albania,alb,1953,60,6.073
Albania,alb,1953,61,6.034
Albania,alb,1953,62,6.279
Albania,alb,1953,63,6.462
Albania,alb,1953,64,6.664
Albania,alb,1953,65,6.703
Albania,alb,1953,66,6.456
Albania,alb,1953,67,6.023
Albania,alb,1953,68,5.634
Albania,alb,1953,69,5.237
Albania,alb,1953,70,4.869
Albania,alb,1953,71,4.565
Albania,alb,1953,72,4.298
Albania,alb,1953,73,4.014
Albania,alb,1953,74,3.727
Albania,alb,1953,75,3.426
Albania,alb,1953,76,3.102
Albania,alb,1953,77,2.769
Albania,alb,1953,78,2.448
Albania,alb,1953,79,2.129
Albania,alb,1953,80+,12.401
Albania,alb,1954,0,53.630
Albania,alb,1954,1,48.016
Albania,alb,1954,2,43.350
Albania,alb,1954,3,39.546
Albania,alb,1954,4,36.810
Albania,alb,1954,5,34.828
Albania,alb,1954,6,33.287
Albania,alb,1954,7,32.122
Albania,alb,1954,8,31.270
Albania,alb,1954,9,30.696
Albania,alb,1954,10,30.362
Albania,alb,1954,11,30.088
